IČO organizace:2;Název organizace:;Právní forma:;Velikostní kategorie:;Adresa:;Kraj:;Okres:;Obec:;Datum vzniku:;Rok vzniku:;Instituce v likvidaci:;Činnost:;Obor:;Nadační kapitál:;Statutární orgán:;Zakladatel:;Počet pobočných spolků:;Popis účelu:;Živnostenské oprávnění:;X:;Y:;GlobalID;x;y
499820;Sdružení výtvarných umělců a přátel výtvarného umění v likvidaci;Spolek;Neuvedeno;Vodičkova /10, 110 00  Praha 1;Hlavní město Praha;Praha;Praha;10/04/1990;"1 990";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,422";"50,079";49c0ebdc-fcb5-4342-8897-3bf231557039;"14,422";"50,079"
513121;Aeroklub České Budějovice, z.s.;Spolek;1 - 5 zaměstnanců;Hosín, 37341, Hosín 109;Jihočeský kraj;České Budějovice;Hosín;16/06/1990;"1 990";aktivní;Sportovní služby;Sport;není k dispozici;Statutární orgán - výbor;není k dispozici;0;Naplňování společného zájmu, kterým jsou letecké sporty.;ANO;"14,492";"49,041";d71fd9d7-b81f-465e-a580-8accc509e4f6;"14,492";"49,041"
499854;Společnost tanečních pedagogů v likvidaci;Spolek;Neuvedeno;Praha;Hlavní město Praha;Praha;Praha;09/04/1990;"1 990";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,434";"50,084";d2e3fc5a-d3b3-4d8f-83fe-b2f1ca00079c;"14,434";"50,084"
482731;Český rybářský svaz, z. s., místní organizace Nový Bor;Pobočný spolek;1 - 5 zaměstnanců;Nový Bor, 47301, Nový Bor, Sklářská 74;Liberecký kraj;Česká Lípa;Nový Bor;01/06/1990;"1 990";aktivní;Rybářství a myslivost;Myslivost a rybářství;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;ANO;"14,553";"50,761";30a06166-090c-4d46-997a-dca06abddc6b;"14,553";"50,761"
530921;Svaz moravskoslezských radioamatérů;Spolek;Neuvedeno;Brno;Jihomoravský kraj;Brno-město;Brno;03/05/1990;"1 990";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;0;není k dispozici;NE;"16,608";"49,2";799b4e17-4c4d-484d-93e7-85ec8b76e594;"16,608";"49,2"
465984;Vlastenecko dobročinná sdružená obec baráčníků Mšeno u Jablonce nad Nisou;Pobočný spolek;Neuvedeno;Jablonec nad Nisou,;Liberecký kraj;Jablonec nad Nisou;Jablonec nad Nisou;31/12/1976;"1 976";aktivní;Uchování kulturních hodnot;Kultura;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"15,171";"50,724";ef7b9974-6eb4-4650-b49f-25a5bf57be4f;"15,171";"50,724"
539511;TJ Slavoj Břevnov z. s.;Spolek;Neuvedeno;Praha, 16900, Břevnov (Praha 6), Bělohorská 1069/7;Hlavní město Praha;Praha;Praha;16/06/1990;"1 990";aktivní;Sportovní služby;Sport;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,326";"50,09";7d69a8f2-de24-4202-8b32-2a0fd2a36612;"14,326";"50,09"
514209;TĚLOVÝCHOVNÁ JEDNOTA LOKOMOTIVA z. s.;Spolek;Neuvedeno;České Budějovice, 37006, České Budějovice 5, Třebízského 1044/1;Jihočeský kraj;České Budějovice;České Budějovice;03/10/1990;"1 990";aktivní;Sportovní služby;Sport;není k dispozici;Statutární orgán - výbor;není k dispozici;0;Tělovýchovná jednota je nepolitickou společenskou organizací s právní subjektivitou. Své členy sdružuje v oddílech a odborech, jejichž cílem je výkon sportovní, tělovýchovné a jiné činnosti v oblasti tělesné kultury.;NE;"14,503";"48,973";9c27cc1d-43b7-435a-a50c-8b5b9fdbb995;"14,503";"48,973"
515248;Český rybářský svaz, z. s., místní organizace Počátky;Pobočný spolek;Neuvedeno;Počátky, 39464, Počátky, Žižkova 589;Kraj Vysočina;Pelhřimov;Počátky;07/06/1990;"1 990";aktivní;Rybářství a myslivost;Myslivost a rybářství;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;ANO;"15,24";"49,264";e2eb49da-b2b3-4b11-86c5-a3f45431f561;"15,24";"49,264"
476731;Auto klub v AČR Želiv;Pobočný spolek;Neuvedeno;Želiv, 39444, Želiv 320;Kraj Vysočina;Pelhřimov;Želiv;26/04/1990;"1 990";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;ANO;"15,219";"49,53";00b0a2d4-2732-473c-bc0e-bc6c37d630bc;"15,219";"49,53"
499927;Společnost příznivců pravdy, svobody a lásky v likvidaci;Spolek;Neuvedeno;Praha, 10100, Vršovice (Praha 10), Košická 71/21;Hlavní město Praha;Praha;Praha;13/04/1990;"1 990";aktivní;Podpora zájmových činností;Zájmová činnost;není k dispozici;není k dispozici;není k dispozici;není k dispozici;není k dispozici;NE;"14,45";"50,07";cf002329-5543-462a-a3f1-1b71e48a91ef;"14,45";"50,07"
